2000000;0.000615
2100000;0.000661
2200000;0.000685
2300000;0.000740
2400000;0.000770
2500000;0.000813
2600000;0.000815
2700000;0.000841
2800000;0.000876
2900000;0.000895
3000000;0.000926
3100000;0.000957
3200000;0.001055
3300000;0.001051
3400000;0.001082
3500000;0.001127
3600000;0.001113
3700000;0.001156
3800000;0.001170
3900000;0.001211
4000000;0.001237
4100000;0.001284
4200000;0.001317
4300000;0.001394
4400000;0.001385
4500000;0.001431
4600000;0.001491
4700000;0.001494
4800000;0.001512
4900000;0.001530
5000000;0.001581
5100000;0.001585
5200000;0.001621
5300000;0.001642
5400000;0.001763
